comparison,false_positive_rate,true_positive_rate,auc
same_recording_split_halves,0.020804223,0.22807018,0.88157418
same_recording_split_halves,0.020959478,0.22807018,0.88157418
same_recording_split_halves,0.021114734,0.22807018,0.88157418
same_recording_split_halves,0.021269989,0.22807018,0.88157418
same_recording_split_halves,0.021425245,0.22807018,0.88157418
same_recording_split_halves,0.0215805,0.22807018,0.88157418
same_recording_split_halves,0.021735755,0.22807018,0.88157418
same_recording_split_halves,0.021891011,0.22807018,0.88157418
same_recording_split_halves,0.022046266,0.22807018,0.88157418
same_recording_split_halves,0.022201522,0.22807018,0.88157418
same_recording_split_halves,0.022356777,0.22807018,0.88157418
same_recording_split_halves,0.022512032,0.22807018,0.88157418
same_recording_split_halves,0.022667288,0.22807018,0.88157418
same_recording_split_halves,0.022822543,0.22807018,0.88157418
same_recording_split_halves,0.022977798,0.22807018,0.88157418
same_recording_split_halves,0.023133054,0.22807018,0.88157418
same_recording_split_halves,0.023288309,0.22807018,0.88157418
same_recording_split_halves,0.023443565,0.22807018,0.88157418
same_recording_split_halves,0.023443565,0.23684211,0.88157418
same_recording_split_halves,0.02359882,0.23684211,0.88157418
same_recording_split_halves,0.023754075,0.23684211,0.88157418
same_recording_split_halves,0.023754075,0.24561404,0.88157418
same_recording_split_halves,0.023909331,0.24561404,0.88157418
same_recording_split_halves,0.024064586,0.24561404,0.88157418
same_recording_split_halves,0.024219842,0.24561404,0.88157418
same_recording_split_halves,0.024219842,0.25438596,0.88157418
same_recording_split_halves,0.024375097,0.25438596,0.88157418
same_recording_split_halves,0.024530352,0.25438596,0.88157418
same_recording_split_halves,0.024685608,0.25438596,0.88157418
same_recording_split_halves,0.024685608,0.26315789,0.88157418
same_recording_split_halves,0.024840863,0.26315789,0.88157418
same_recording_split_halves,0.024996119,0.26315789,0.88157418
same_recording_split_halves,0.024996119,0.27192982,0.88157418
same_recording_split_halves,0.025151374,0.27192982,0.88157418
same_recording_split_halves,0.025306629,0.27192982,0.88157418
same_recording_split_halves,0.025461885,0.27192982,0.88157418
same_recording_split_halves,0.02561714,0.27192982,0.88157418
same_recording_split_halves,0.025772396,0.27192982,0.88157418
same_recording_split_halves,0.025927651,0.27192982,0.88157418
same_recording_split_halves,0.025927651,0.28070175,0.88157418
same_recording_split_halves,0.026082906,0.28070175,0.88157418
same_recording_split_halves,0.026238162,0.28070175,0.88157418
same_recording_split_halves,0.026393417,0.28070175,0.88157418
same_recording_split_halves,0.026393417,0.28947368,0.88157418
